,Start,End
0,2019-09-21 11:50:20.453351,2019-09-21 11:50:20.484352
1,2019-09-21 11:50:21.288398,2019-09-21 11:50:21.944436
2,2019-09-21 11:50:23.048499,2019-09-21 11:50:23.688536
3,2019-09-21 11:50:26.664706,2019-09-21 11:50:26.922721
4,2019-09-21 11:50:27.528755,2019-09-21 11:50:28.400805
5,2019-09-21 11:50:28.639819,2019-09-21 11:50:29.202851
6,2019-09-21 11:50:30.060900,2019-09-21 11:50:30.635933
7,2019-09-21 11:50:31.070958,2019-09-21 11:50:31.311972
8,2019-09-21 11:50:31.807000,2019-09-21 11:50:32.108017
9,2019-09-21 11:50:32.368032,2019-09-21 11:50:32.844059
10,2019-09-21 11:50:33.501097,2019-09-21 11:50:33.808114
11,2019-09-21 11:50:34.268141,2019-09-21 11:50:34.414149
12,2019-09-21 11:50:35.136190,2019-09-21 11:50:35.328201
13,2019-09-21 11:50:36.908292,2019-09-21 11:50:36.940294
14,2019-09-21 11:50:37.213309,2019-09-21 11:50:38.174364
15,2019-09-21 11:50:38.718395,2019-09-21 11:50:39.455437
16,2019-09-21 11:50:39.614447,2019-09-21 11:50:40.085473
